#important hair need item value3 from proto.
#mobvnum-race-weapon-armor-hair-sash-mount-shining1-shihing2-crown
53256	8	40177	43048	43050	85025	20153	0	0	14
53251	0	40101	43004	43006	85024	20155	0	0	0
53252	2	40108	43008	43010	85018	20154	0	0	0
53253	6	40115	43013	43015	85014	20158	0	0	0
53254	1	40124	43017	43019	85008	20159	0	0	0
53255	7	40133	43024	43026	85004	20156	0	0	0
20348	3	40217	43041	43043	0	20157	0	0	0
20079	5	40214	43040	43042	0	20157	0	0	0
20300	0	0	11299	0	0	0	0	0	0
20301	4	0	11299	0	0	0	0	0	0
20320	0	0	11299	0	0	0	0	0	0
20321	4	0	11299	0	0	0	0	0	0
20340	0	0	11299	0	0	0	0	0	0
20341	4	0	11299	0	0	0	0	0	0
20302	5	0	11299	0	0	0	0	0	0
20303	1	0	11299	0	0	0	0	0	0
20322	5	0	11299	0	0	0	0	0	0
20323	1	0	11299	0	0	0	0	0	0
20342	5	0	11299	0	0	0	0	0	0
20343	1	0	11299	0	0	0	0	0	0
20304	2	0	11299	0	0	0	0	0	0
20305	6	0	11299	0	0	0	0	0	0
20324	2	0	11299	0	0	0	0	0	0
20325	6	0	11299	0	0	0	0	0	0
20344	2	0	11299	0	0	0	0	0	0
20345	6	0	11299	0	0	0	0	0	0
20306	7	0	11299	0	0	0	0	0	0
20307	3	0	11299	0	0	0	0	0	0
20326	7	0	11299	0	0	0	0	0	0
20327	3	0	11299	0	0	0	0	0	0
20346	7	0	11299	0	0	0	0	0	0
20347	3	0	11299	0	0	0	0	0	0
20403	8	0	21079	0	0	0	0	0	0
53261	0	0	43064	43066	0	0	0	0	0
