2002	4386	10	4385	4	27992	10	27993	10	27994	10	25000000	0	0	75
2035	31114	50	0	0	0	0	0	0	0	0	25000000	0	0	100
2029	0	0	0	0	0	0	0	0	0	0	10000000	0	0	100
2032	4378	3	4383	3	27992	3	27993	3	27994	3	30000000	0	0	60
2031	4378	2	4383	2	27992	3	27993	3	27994	3	20000000	0	0	75
2001	4386	5	4385	2	27992	5	27993	5	27994	5	10000000	0	0	80
2003	4386	15	4385	6	27992	15	27993	15	27994	15	50000000	0	0	60
2004	4386	10	4384	2	27992	10	27993	10	27994	10	10000000	0	0	80
2005	4386	15	4384	4	27992	15	27993	15	27994	15	25000000	0	0	75
2006	4386	20	4384	6	27992	20	27993	20	27994	20	50000000	0	0	60
2007	4386	10	4381	2	71129	2	71123	2	51001	100	10000000	0	0	80
2008	4386	15	4381	4	71129	4	71123	4	51001	200	25000000	0	0	75
2009	4386	20	4381	6	71129	6	71123	6	51001	300	50000000	0	0	60
2010	51001	100	4386	2	0	0	0	0	0	0	25000000	0	0	100
2011	4386	20	4379	2	4380	2	51001	300	0	0	50000000	0	0	80
2012	4386	25	4379	4	4380	4	51001	500	0	0	75000000	0	0	75
2013	4386	30	4379	6	4380	6	51001	750	0	0	100000000	0	0	60
2014	4386	5	4382	2	27992	5	27993	5	27994	5	25000000	0	0	80
2015	4386	10	4382	4	27992	10	27993	10	27994	10	50000000	0	0	75
2016	4386	15	4382	6	27992	15	27993	15	27994	15	75000000	0	0	60
2017	4386	5	4382	2	27992	5	27993	5	27994	5	25000000	0	0	80
2018	4386	5	4382	3	27992	5	27993	5	27994	5	50000000	0	0	75
2019	4386	5	4382	5	27992	5	27993	5	27994	5	75000000	0	0	60
2020	4386	5	4381	2	71129	2	71123	2	51001	100	25000000	0	0	80
2021	4386	5	4381	3	71129	3	71123	3	51001	150	50000000	0	0	75
2022	4386	5	4381	5	71129	5	71123	5	51001	200	75000000	0	0	60
2023	4386	5	4384	2	27992	10	27993	10	27994	0	25000000	0	0	80
2024	4386	5	4384	3	27992	10	27993	10	27994	0	50000000	0	0	75
2025	4386	5	4384	5	27992	10	27993	10	27994	0	75000000	0	0	60
2026	4386	5	4385	2	27992	5	27993	5	27994	5	25000000	0	0	80
2027	4386	5	4385	3	27992	5	27993	5	27994	5	50000000	0	0	75
2028	4386	5	4385	5	27992	5	27993	5	27994	5	75000000	0	0	60
2030	4378	1	4383	1	27992	2	27993	2	27994	2	10000000	0	0	80
